ConsecutivoOP,ConsecPedido,Cliente,Producto,NombProducto,OCCliente,Actividad,RecMAQ,RecHOM,SecAct,FechEstInicil,estado,TipoConsecutivo,Fecha de visita,Empresa,Planta,País,Ciudad,Tipo de equipo,Pedido,Material,Causa de desgaste,"Si escogió otros, ¿cuál?",Escoja el desgaste donde se presenta,Tipo de cadena,Referencia cadena,Medida referencia de control desgaste nueva en mm (CADENA),Medida referencia control de desgaste actual en mm (CADENA),Porcentaje de elongación actual % (CADENA),Porcentaje de elongación máx % (CADENA),Proyección en horas de operación restantes (H) (CADENA),Medida sin desgaste en mm (BUJE),Medida actual en mm1 (BUJE),Porcentaje de desgaste actual % (BUJE),Medida sin desgaste en mm1 (PASADOR),Medida actual en mm (PASADOR),Porcentaje de desgaste actual % (PASADOR),Medida sin desgaste en mm2 (RODILLO),Medida actual en mm2 (RODILLO),Porcentaje de desgaste actual % (RODILLO),Altura de la platina en mm,Medida actual de la platina en mm (PLATINA),Porcentaje de desgaste actual % (PLATINA),Paso en mm,Cantidad de pasos,No conformidad,Porcentaje de no conformidad,Tiempo hasta falla (Dias)
65433,26765,860009808,30351506C,PLATINA,4530313020,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-08-03,FI,FBORP,2022-12-05,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongación prematura;Desalineación;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,102.0,101.0,0.98,177.8,6.0,Desgaste,0.98,489
65431,26765,860009808,30351506A,BUJE,4530313020,CORT,MEGAS,CORTAR,1,2021-08-03,FI,FBORP,2022-12-05,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongación prematura;Desalineación;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,102.0,101.0,0.98,177.8,6.0,Desgaste,0.98,489
65430,26765,860009808,30351506,CADENA,4530313020,PINA1,BANCO DE TRABAJO ENSAMBLE,PRODUCTO TERMINADO,4,2021-07-01,FI,FBORP,2022-12-05,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongación prematura;Desalineación;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,102.0,101.0,0.98,177.8,6.0,Desgaste,0.98,522
65434,26765,860009808,30351506D,PLATINA,4530313020,CORT4,OXICORTE Y PLASMA,CORTAR,1,2021-07-02,FI,FBORP,2022-12-05,HOLCIM,NOBSA,COLOMBIA,BOYACA,Elevador cangilones,26765,CLINKER,Elongación prematura;Desalineación;Otros,DESGASTE DE GUIAS,Platina Interna;Pasador cadena,"CDNA FB984-ADITK443-C2-P7""",FB984,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,102.0,101.0,0.98,177.8,6.0,Desgaste,0.98,521
54312,23311,890100251,1018018,CADENA,4500529054,ENSA,PRENSA ANCLAJES,FORJADO,1,2019-01-25,FI,FBORP,2022-03-15,ARGOS,SOGAMOSO,COLOMBIA,SOGAMOSO,Elevador cangilones,23311,CLINKER,Elongación prematura;Cavitación seca,No Aplica,Platina Externa;Pasador cadena,CDNA FB864-K443-C2-P7,FB864,No Aplica,242.3,1.68,2.2,10800.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,1.68,1145
66729,27177,860009808,30179097,CADENA,4500556454,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,7,2021-10-02,FI,FBORP,2023-07-07,HOLCIM,No Aplica,COLOMBIA,BOYACA,Elevador cangilones,27177,DESCONOCIDO,Desalineación,No Aplica,Platina Externa,"CDNA FB-6830-K2-C2 P 6"" ",FB-683,152.4,152.8,0.26,2.2,32830.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.26,643
67135,27380,860009808,30321162D,PLATINA,E-MAIL 02/11/2021,ENDE,"PRENSA ANCLAJES, PLATINAS Y TROQUELADORAS",FORJADO,4,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67133,27380,860009808,30321162B,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67134,27380,860009808,30321162C,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67136,27380,860009808,30321162E,BUJE,E-MAIL 02/11/2021,CORT,MEGAS,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67131,27380,860009808,30321162,CADENA,E-MAIL 02/11/2021,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67132,27380,860009808,30321162A,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67140,27380,860009808,30321162I,PLATINA,E-MAIL 02/11/2021,CORT2,OXICORTE Y PLASMA,CORTAR,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67142,27380,860009808,30321162K,PLATINA,E-MAIL 02/11/2021,ARMAR,SOLDADORES GMAW,SOLDADURA,1,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
67141,27380,860009808,30321162J,PLATINA,E-MAIL 02/11/2021,LIMP1,BANCO DE TRABAJO SOLDADURA,SOLDADURA,3,2021-11-04,FI,FBORP,2022-12-05,HOLCIM,BOYACA,COLOMBIA,BOYACA,Reclamador y apilador,27380,PIEDRA CALIZA,Elongación prematura;Otros,EXCESIVA TENSION,Platina Externa;Buje cadena;Rodillo,CDNA FB311-TK1-C2-P250,FB311,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,350.0,349.0,0.286,250.0,6.0,Desgaste,0.286,396
68007,27587,CAP821208LQ3,PD0001788E,BUJE,8400004593,CORT,MEGAS,CORTAR,1,2022-01-06,CE,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
68006,27587,CAP821208LQ3,PD0001788D,PASADOR,8400004593,CORT,MEGAS,CORTAR,1,2022-01-06,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
68003,27587,CAP821208LQ3,PD0001788,CADENA,8400004593,INSP,BANCO DE TRABAJO CALIDAD,CALIDAD,8,2022-01-06,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Elevador cangilones,27587,"PUZOLANA, CALIZA",Cavitación seca,MAL ESTADO RUEDA MOTRIZ Y TENSOR,Buje cadena,"CDNA ELEVADOR FB 994-K443-C2-P7""",FB 994,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,63.5,62.8,1.1,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,1.1,883
58950,24775,900164755,7100010-A6,RODILLO,4500687880,CORT,MEGAS,CORTAR,1,2020-02-04,FI,FBORP,2022-10-13,ARGOS,ZONA FRANCA,COLOMBIA,CARTAGENA,Reclamador y apilador,24775,CORRECTORES,Otros,TIEMPO DE TRABAJO,Rodillo;Platina Externa;Platina Interna,CDNA RECLAM. ADITIVOS PASO 315,FU9,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,110.0,106.7,3.09,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Desgaste,3.09,982
77790,30028,CAP821208LQ3,30607413,CADENA,8400005586,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,6,2023-08-16,FI,FBORP,2024-05-20,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.14,278
77791,30028,CAP821208LQ3,30607413A,BUJE,8400005586,CORT,MEGAS,CORTAR,1,2023-08-16,FI,FBORP,2024-05-20,HOLCIM,MERIDA,MEXICO,MERIDA,Elevador cangilones,30028,CLINKER,Otros,FALTA DE COMPONENTE (ARANDELAS TOPE),Pasador cadena,CDNA ELEVADOR FB AU06.3 C2 P7,FB AU06.3,236.5,236.8,0.14,3.3,29524.0,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.14,278
74456,28914,CAP821208LQ3,30392656,CADENA,8400005086,EMPA,BANCO DE TRABAJO DESPACHO,PRODUCTO TERMINADO,8,2023-01-25,FI,FBORP,2024-06-07,HOLCIM,HERMOSILLO,MEXICO,HERMOSILLO,Tansportador de tablilla,28914,CLINKER,Otros,SPROCKET MOTRIZ EN MAL ESTADO,Platina Interna,CDNA FB TRANS AU8076-C5-P250,FB 8076 ,326.0,326.6,0.18,1.6,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Elongación,0.18,499
